date,state,district,pincode,bio_age_5_17,bio_age_17_,city
05-06-2025,Uttar Pradesh,Bareilly,262406,35,16,bareilly
09-06-2025,Uttar Pradesh,Bareilly,243001,29,42,bareilly
09-06-2025,Uttar Pradesh,Bareilly,243505,31,25,bareilly
09-06-2025,Uttar Pradesh,Bareilly,243506,22,1,bareilly
10-06-2025,Uttar Pradesh,Bareilly,243006,9,22,bareilly
10-06-2025,Uttar Pradesh,Bareilly,243303,33,14,bareilly
10-06-2025,Uttar Pradesh,Bareilly,243501,20,8,bareilly
10-06-2025,Uttar Pradesh,Bareilly,243504,61,16,bareilly
11-06-2025,Uttar Pradesh,Bareilly,243003,11,16,bareilly
11-06-2025,Uttar Pradesh,Bareilly,243201,33,19,bareilly
11-06-2025,Uttar Pradesh,Bareilly,243301,60,12,bareilly
11-06-2025,Uttar Pradesh,Bareilly,243401,28,9,bareilly
11-06-2025,Uttar Pradesh,Bareilly,243504,60,10,bareilly
12-06-2025,Uttar Pradesh,Bareilly,243006,22,16,bareilly
12-06-2025,Uttar Pradesh,Bareilly,243201,43,28,bareilly
12-06-2025,Uttar Pradesh,Bareilly,243403,2,0,bareilly
12-06-2025,Uttar Pradesh,Bareilly,243504,18,4,bareilly
13-06-2025,Uttar Pradesh,Bareilly,243001,35,32,bareilly
13-06-2025,Uttar Pradesh,Bareilly,243122,31,23,bareilly
13-06-2025,Uttar Pradesh,Bareilly,243203,7,3,bareilly
13-06-2025,Uttar Pradesh,Bareilly,243303,58,5,bareilly
13-06-2025,Uttar Pradesh,Bareilly,243402,5,3,bareilly
13-06-2025,Uttar Pradesh,Bareilly,243403,2,1,bareilly
13-06-2025,Uttar Pradesh,Bareilly,243407,0,2,bareilly
14-06-2025,Uttar Pradesh,Bareilly,243202,11,2,bareilly
14-06-2025,Uttar Pradesh,Bareilly,262407,11,11,bareilly
15-06-2025,Uttar Pradesh,Bareilly,243006,1,4,bareilly
15-06-2025,Uttar Pradesh,Bareilly,243202,1,0,bareilly
17-06-2025,Uttar Pradesh,Bareilly,243003,8,9,bareilly
17-06-2025,Uttar Pradesh,Bareilly,243122,32,26,bareilly
17-06-2025,Uttar Pradesh,Bareilly,243302,37,16,bareilly
17-06-2025,Uttar Pradesh,Bareilly,243502,38,20,bareilly
18-06-2025,Uttar Pradesh,Bareilly,243122,21,11,bareilly
18-06-2025,Uttar Pradesh,Bareilly,243302,37,7,bareilly
18-06-2025,Uttar Pradesh,Bareilly,243402,1,0,bareilly
18-06-2025,Uttar Pradesh,Bareilly,243403,0,1,bareilly
18-06-2025,Uttar Pradesh,Bareilly,243505,21,9,bareilly
18-06-2025,Uttar Pradesh,Bareilly,262406,54,21,bareilly
01-08-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
20-07-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
20-07-2025,Uttar Pradesh,Bareilly,243003,0,14,bareilly
20-07-2025,Uttar Pradesh,Bareilly,243303,3,30,bareilly
20-07-2025,Uttar Pradesh,Bareilly,243401,1,27,bareilly
11-07-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
12-07-2025,Uttar Pradesh,Bareilly,243004,0,2,bareilly
06-07-2025,Uttar Pradesh,Bareilly,243407,2,7,bareilly
06-07-2025,Uttar Pradesh,Bareilly,243506,1,22,bareilly
09-07-2025,Uttar Pradesh,Bareilly,243403,1,3,bareilly
03-07-2025,Uttar Pradesh,Bareilly,243002,0,2,bareilly
30-05-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
30-05-2025,Uttar Pradesh,Bareilly,243403,0,6,bareilly
25-05-2025,Uttar Pradesh,Bareilly,243003,0,6,bareilly
25-05-2025,Uttar Pradesh,Bareilly,243005,0,15,bareilly
25-05-2025,Uttar Pradesh,Bareilly,243401,1,15,bareilly
25-05-2025,Uttar Pradesh,Bareilly,243407,0,15,bareilly
21-06-2025,Uttar Pradesh,Bareilly,243407,0,21,bareilly
22-06-2025,Uttar Pradesh,Bareilly,243402,0,36,bareilly
22-06-2025,Uttar Pradesh,Bareilly,243407,0,3,bareilly
22-06-2025,Uttar Pradesh,Bareilly,243502,2,17,bareilly
22-06-2025,Uttar Pradesh,Bareilly,243504,2,23,bareilly
24-06-2025,Uttar Pradesh,Bareilly,243403,0,2,bareilly
24-06-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
