date,state,district,pincode,bio_age_5_17,bio_age_17_
28-08-2025,Delhi,New Delhi,110011,0,1
07-08-2025,Delhi,New Delhi,110011,0,1
05-08-2025,Delhi,New Delhi,110023,0,1
19-07-2025,Delhi,New Delhi,110011,1,2
09-07-2025,Delhi,New Delhi,110023,0,3
30-06-2025,Delhi,New Delhi,110023,0,5
15-07-2025,Delhi,New Delhi,110021,1,3
23-07-2025,Delhi,New Delhi,110023,1,0
01-08-2025,Delhi,New Delhi,110021,3,1
30-07-2025,Delhi,New Delhi,110021,1,0
04-08-2025,Delhi,New Delhi,110021,4,4
04-08-2025,Delhi,New Delhi,110023,1,0
24-06-2025,Delhi,New Delhi,110001,8,12
26-07-2025,Delhi,New Delhi,110021,3,3
27-07-2025,Delhi,New Delhi,110001,1,2
16-07-2025,Delhi,New Delhi,110011,1,0
16-07-2025,Delhi,New Delhi,110021,3,3
19-07-2025,Delhi,New Delhi,110001,7,6
19-07-2025,Delhi,New Delhi,110021,4,7
24-07-2025,Delhi,New Delhi,110021,7,7
07-08-2025,Delhi,New Delhi,110001,7,8
28-07-2025,Delhi,New Delhi,110001,2,9
28-07-2025,Delhi,New Delhi,110021,4,2
27-06-2025,Delhi,New Delhi,110021,12,5
08-07-2025,Delhi,New Delhi,110021,3,4
11-07-2025,Delhi,New Delhi,110001,3,9
02-08-2025,Delhi,New Delhi,110021,2,1
01-07-2025,Delhi,New Delhi,110021,4,4
04-07-2025,Delhi,New Delhi,110001,5,5
25-08-2025,Delhi,New Delhi,110001,7,6
18-08-2025,Delhi,New Delhi,110021,3,0
19-08-2025,Delhi,New Delhi,110021,2,7
23-08-2025,Delhi,New Delhi,110011,0,1
11-08-2025,Delhi,New Delhi,110023,0,1
03-09-2025,Delhi,New Delhi,110001,1,2
02-09-2025,Delhi,New Delhi,110001,4,5
16-10-2025,Delhi,New Delhi,110021,3,2
03-10-2025,Delhi,New Delhi,110021,7,2
23-10-2025,Delhi,New Delhi,110021,7,5
11-09-2025,Delhi,New Delhi,110001,4,5
11-09-2025,Delhi,New Delhi,110021,5,5
08-09-2025,Delhi,New Delhi,110023,2,0
13-09-2025,Delhi,New Delhi,110023,0,1
13-10-2025,Delhi,New Delhi,110001,0,9
01-09-2025,Delhi,New Delhi,110021,6,3
04-09-2025,Delhi,New Delhi,110011,0,1
04-09-2025,Delhi,New Delhi,110021,5,3
06-09-2025,Delhi,New Delhi,110021,10,4
26-09-2025,Delhi,New Delhi,110021,2,4
27-09-2025,Delhi,New Delhi,110001,3,4
25-09-2025,Delhi,New Delhi,110001,5,6
24-09-2025,Delhi,New Delhi,110021,9,3
28-09-2025,Delhi,New Delhi,110001,0,2
04-10-2025,Delhi,New Delhi,110001,5,3
04-10-2025,Delhi,New Delhi,110021,4,3
10-11-2025,Delhi,New Delhi,110001,4,3
31-10-2025,Delhi,New Delhi,110023,1,0
01-11-2025,Delhi,New Delhi,110001,6,2
13-11-2025,Delhi,New Delhi,110021,6,7
15-12-2025,Delhi,New Delhi,110021,0,5
